OCC,COUNT_TOT,WITH_INC,MED_INC,AVG_INC,COUNT_WAGE,MED_WAGE,AVG_WAGE,NOC,noc_title,harm.rank,relative.measure
7281 Bricklayers,20730,19355,35379,39573,16750,36959,40788,7281,7281 Bricklayers,329.834240068657,-329.834240068657
7282 Concrete finishers,12775,12130,44444,47526,11280,45691,48326,7282,7282 Concrete finishers,273.593086299953,-273.593086299953
7283 Tilesetters,11305,10145,27622,32311,6760,30905,33541,7283,7283 Tilesetters,322.425045715484,-322.425045715484
"7284 Plasterers, drywall installers and finishers and lathers",32775,29375,30971,35301,22850,31811,35202,7284,"7284 Plasterers, drywall installers and finishers and lathers",357.5215953729,-357.5215953729
7291 Roofers and shinglers,25085,23025,30514,35047,20935,31081,35202,7291,7291 Roofers and shinglers,303.873060813229,-303.873060813229
7292 Glaziers,10425,10085,43929,44957,9435,44483,45651,7292,7292 Glaziers,349.782999379998,-349.782999379998
7293 Insulators,11680,11245,51244,56651,10540,53233,57900,7293,7293 Insulators,347.658244059884,-347.658244059884
7294 Painters and decorators (except interior decorators),55200,48200,20339,27047,32275,24369,29404,7294,7294 Painters and decorators (except interior decorators),405.075090077315,-405.075090077315
7295 Floor covering installers,17825,15445,25067,31144,9370,26504,31772,7295,7295 Floor covering installers,379.196173262617,-379.196173262617
"7301 Contractors and supervisors, mechanic trades",24555,23555,66947,73698,21910,69528,76626,7301,"7301 Contractors and supervisors, mechanic trades",133.021403054472,-133.021403054472
"7302 Contractors and supervisors, heavy equipment operator crews",40780,39005,72088,78347,37320,73820,80318,7302,"7302 Contractors and supervisors, heavy equipment operator crews",181.734585335964,-181.734585335964
"7303 Supervisors, printing and related occupations",3110,3020,53767,56442,2930,54481,57366,7303,"7303 Supervisors, printing and related occupations",169.838613556711,-169.838613556711
"7304 Supervisors, railway transport operations",2120,2105,88694,91712,2090,89080,92212,7304,"7304 Supervisors, railway transport operations",213.262744618541,-213.262744618541
"7305 Supervisors, motor transport and other ground transit operators",9775,9280,63055,68430,8860,64238,69749,7305,"7305 Supervisors, motor transport and other ground transit operators",303.220285605748,-303.220285605748
7311 Construction millwrights and industrial mechanics,77460,76030,69286,73471,74515,69947,74348,7311,7311 Construction millwrights and industrial mechanics,92.3650843463525,-92.3650843463525
7312 Heavy-duty equipment mechanics,41590,40725,66336,73164,39165,67571,74732,7312,7312 Heavy-duty equipment mechanics,150.061721228586,-150.061721228586
"7313 Heating, refrigeration and air conditioning mechanics",26865,25970,56689,59033,24495,58736,60747,7313,7313 Refrigeration and air conditioning mechanics,107.057769476834,-107.057769476834
7314 Railway carmen/women,2765,2725,71989,70497,2700,72034,70384,7314,7314 Railway carmen/women,306.862230517489,-306.862230517489
7315 Aircraft mechanics and aircraft inspectors,18060,17615,70367,69408,17205,70749,69861,7315,7315 Aircraft mechanics and aircraft inspectors,113.320499672532,-113.320499672532
7316 Machine fitters,2560,2510,57705,58852,2470,58007,59181,7316,7316 Machine fitters,90.0732097832037,-90.0732097832037
7318 Elevator constructors and mechanics,5505,5415,94234,93789,5380,94668,94280,7318,7318 Elevator constructors and mechanics,95.3898210886954,-95.3898210886954
"7321 Automotive service technicians, truck and bus mechanics and mechanical repairers",164135,156845,45064,48295,145865,46933,50207,7321,"7321 Automotive service technicians, truck and bus mechanics and mechanical repairers",79.0743159147741,-79.0743159147741
7322 Motor vehicle body repairers,31460,29605,42683,47238,26330,45601,50158,7322,7322 Motor vehicle body repairers,361.758978300243,-361.758978300243
7331 Oil and solid fuel heating mechanics,2850,2735,40778,43326,2360,43575,46078,7331,7331 Oil and solid fuel heating mechanics,109.460939808452,-109.460939808452
7332 Appliance servicers and repairers,7850,7365,36530,39124,5535,41019,43490,7332,7332 Appliance servicers and repairers,216.042387395031,-216.042387395031
7333 Electrical mechanics,9975,9815,53153,56370,9605,53520,57006,7333,7333 Electrical mechanics,77.8026892634919,-77.8026892634919
"7334 Motorcycle, all-terrain vehicle and other related mechanics",6135,5895,42736,44101,5415,44818,46212,7334,"7334 Motorcycle, all-terrain vehicle and other related mechanics",198.65800390714,-198.65800390714
7335 Other small engine and small equipment repairers,3520,3240,31856,34750,2620,37404,39907,7335,7335 Other small engine and small equipment repairers,198.655795346363,-198.655795346363
7361 Railway and yard locomotive engineers,4885,4855,107140,101577,4835,107315,102016,7361,7361 Railway and yard locomotive engineers,191.835705115814,-191.835705115814
7362 Railway conductors and brakemen/women,5325,5285,81862,78957,5260,82364,79258,7362,7362 Railway conductors and brakemen/women,169.253734007449,-169.253734007449
7371 Crane operators,15970,15690,71285,77053,15450,71810,77882,7371,7371 Crane operators,267.833955475238,-267.833955475238
"7372 Drillers and blasters - surface mining, quarrying and construction",2780,2700,61944,64375,2650,62357,64694,7372,"7372 Drillers and blasters - surface mining, quarrying and construction",217.215677608688,-217.215677608688
7373 Water well drillers,910,855,49941,55083,780,50646,58007,7373,7373 Water well drillers,217.215677608688,-217.215677608688
7381 Printing press operators,17825,17250,43321,44724,16650,44198,45589,7381,7381 Printing press operators,190.044648283823,-190.044648283823
"7384 Other trades and related occupations, n.e.c.",13605,12865,42315,46643,11005,46533,50320,7384,"7384 Other trades and related occupations, n.e.c.",145.128695322907,-145.128695322907
7441 Residential and commercial installers and servicers,54505,50165,29182,33670,41545,30508,34398,7441,7441 Residential and commercial installers and servicers,120.010399642964,-120.010399642964
7442 Waterworks and gas maintenance workers,5610,5475,61895,66555,5350,62357,66793,7442,7442 Waterworks and gas maintenance workers,140.623962843634,-140.623962843634
7444 Pest controllers and fumigators,4445,4180,34888,37724,3735,36598,38739,7444,7444 Pest controllers and fumigators,388.129856569016,-388.129856569016
7451 Longshore workers,7420,7275,67477,72536,7190,68262,72880,7451,7451 Longshore workers,422.017867756082,-422.017867756082
7452 Material handlers,203975,195350,32033,34437,192580,32243,34511,7452,7452 Material handlers,350.454163149018,-350.454163149018
7511 Transport truck drivers,336460,319720,42380,45138,286565,44008,46391,7511,7511 Transport truck drivers,246.129427074045,-246.129427074045
"7512 Bus drivers, subway operators and other transit operators",99405,97270,28689,38174,95630,28695,38279,7512,"7512 Bus drivers, subway operators and other transit operators",232.114586176914,-232.114586176914
7513 Taxi and limousine drivers and chauffeurs,64125,58790,13319,17313,27705,14466,20408,7513,7513 Taxi and limousine drivers and chauffeurs,402.781400147915,-402.781400147915
7514 Delivery and courier service drivers,102680,95515,25066,29558,83875,26452,30351,7514,7514 Delivery and courier service drivers,386.031579120032,-386.031579120032
7521 Heavy equipment operators (except crane),100000,96900,56412,62017,93655,57316,63091,7521,7521 Heavy equipment operators (except crane),305.207111671499,-305.207111671499
7522 Public works maintenance equipment operators and related workers,28095,26920,46246,45255,25655,47615,46302,7522,7522 Public works maintenance equipment operators and related workers,253.338273108605,-253.338273108605
7531 Railway yard and track maintenance workers,6535,6455,68063,68452,6400,68385,68639,7531,7531 Railway yard and track maintenance workers,182.54124751824,-182.54124751824
7532 Water transport deck and engine room crew,4960,4825,53681,52846,4760,53903,52935,7532,7532 Water transport deck and engine room crew,215.593357497424,-215.593357497424
7533 Boat and cable ferry operators and related occupations,2845,2745,39428,45537,2600,39845,46772,7533,7533 Boat and cable ferry operators and related occupations,112.650778048358,-112.650778048358
7534 Air transport ramp attendants,10810,10510,33220,35780,10405,33477,35617,7534,7534 Air transport ramp attendants,212.821593622281,-212.821593622281
7535 Other automotive mechanical installers and servicers,19150,18390,29326,36018,17950,29521,36180,7535,7535 Other automotive mechanical installers and servicers,205.794774215845,-205.794774215845
7611 Construction trades helpers and labourers,224580,206465,28960,36164,189795,30418,37170,7611,7611 Construction trades helpers and labourers,207.471359811062,-207.471359811062
7612 Other trades helpers and labourers,11500,10590,27045,35238,10200,27771,35701,7612,7612 Other trades helpers and labourers,267.269968089507,-267.269968089507
7621 Public works and maintenance labourers,36085,34540,37386,38441,33980,37823,38630,7621,7621 Public works and maintenance labourers,323.780582629597,-323.780582629597
7622 Railway and motor transport labourers,5595,5310,30303,35124,5155,30711,35416,7622,7622 Railway and motor transport labourers,294.065658417318,-294.065658417318
"8211 Supervisors, logging and forestry",4795,4600,54420,59283,4280,56393,61777,8211,"8211 Supervisors, logging and forestry",183.814322547453,-183.814322547453
"8221 Supervisors, mining and quarrying",7175,7070,124407,121631,6990,125360,122745,8221,"8221 Supervisors, mining and quarrying",181.734585335964,-181.734585335964
"8222 Contractors and supervisors, oil and gas drilling and services",16825,15165,103636,124417,14560,106077,127022,8222,"8222 Contractors and supervisors, oil and gas drilling and services",181.734585335964,-181.734585335964
8231 Underground production and development miners,16855,16555,99499,95789,16440,99911,96358,8231,8231 Underground production and development miners,273.037914583899,-273.037914583899
"8232 Oil and gas well drillers, servicers, testers and related workers",12555,11895,76446,85340,11550,76882,86160,8232,"8232 Oil and gas well drillers, servicers, testers and related workers",129.886490356851,-129.886490356851
8241 Logging machinery operators,9015,8690,55930,56469,8305,56908,57367,8241,8241 Logging machinery operators,394.717097028972,-394.717097028972
"8252 Agricultural service contractors, farm supervisors and specialized livestock workers",11350,10270,29216,35375,7825,37000,41179,8252,"8252 Agricultural service contractors, farm supervisors and specialized livestock workers",212.053876522974,-212.053876522974
"8255 Contractors and supervisors, landscaping, grounds maintenance and horticulture services",23475,21240,30618,37821,16460,34008,40215,8255,"8255 Contractors and supervisors, landscaping, grounds maintenance and horticulture services",227.625894219718,-227.625894219718
8261 Fishing masters and officers,3140,2985,49579,65720,1780,40209,53698,8261,8261 Fishing masters and officers,159.985137169772,-159.985137169772
8262 Fishermen/women,23765,22425,25078,38375,11915,18214,32404,8262,8262 Fishermen/women,159.985137169772,-159.985137169772
8411 Underground mine service and support workers,3375,3325,72591,73089,3290,73614,73723,8411,8411 Underground mine service and support workers,176.721788508446,-176.721788508446
8412 Oil and gas well drilling and related workers and services operators,9260,8955,80467,84608,8835,80678,85123,8412,8412 Oil and gas well drilling and related workers and services operators,368.90839537211,-368.90839537211
8421 Chain saw and skidder operators,9410,8570,24977,33318,6965,30087,36831,8421,8421 Chain saw and skidder operators,437.47753039023,-437.47753039023
8422 Silviculture and forestry workers,8770,8325,21710,28427,7905,21932,28908,8422,8422 Silviculture and forestry workers,178.162615009091,-178.162615009091
8431 General farm workers,121835,103555,15966,22520,85255,16609,23300,8431,8431 General farm workers,437.127645981297,-437.127645981297
8432 Nursery and greenhouse workers,18915,16920,12717,16678,16160,12630,16701,8432,8432 Nursery and greenhouse workers,453.205414993301,-453.205414993301
8441 Fishing vessel deckhands,6865,6570,17335,30120,5300,15206,26842,8441,8441 Fishing vessel deckhands,159.985137169772,-159.985137169772
8442 Trappers and hunters,1005,715,3761,13909,515,5988,18789,8442,8442 Trappers and hunters,355.522677012181,-355.522677012181
8611 Harvesting labourers,9560,8095,10738,15683,7665,10720,15852,8611,8611 Harvesting labourers,468.963137550257,-468.963137550257
8612 Landscaping and grounds maintenance labourers,140005,122030,14211,19997,110645,14192,20063,8612,8612 Landscaping and grounds maintenance labourers,358.567319618805,-358.567319618805
8613 Aquaculture and marine harvest labourers,2595,2435,15900,23346,1990,17563,23787,8613,8613 Aquaculture and marine harvest labourers,398.208987308973,-398.208987308973
8614 Mine labourers,3945,3810,53771,57706,3785,53847,58009,8614,8614 Mine labourers,176.721788508446,-176.721788508446
"8615 Oil and gas drilling, servicing and related labourers",11520,11005,51164,59301,10825,51181,59385,8615,"8615 Oil and gas drilling, servicing and related labourers",240.143408342757,-240.143408342757
"9211 Supervisors, mineral and metal processing",8230,8140,73053,78115,8065,73177,78587,9211,"9211 Supervisors, mineral and metal processing",169.838613556711,-169.838613556711
"9212 Supervisors, petroleum, gas and chemical processing and utilities",15320,15000,91743,104037,14790,92457,105028,9212,"9212 Supervisors, petroleum, gas and chemical processing and utilities",169.838613556711,-169.838613556711
"9213 Supervisors, food and beverage processing",13810,13560,51381,53819,13450,51613,54058,9213,"9213 Supervisors, food, beverage and associated products processing",169.838613556711,-169.838613556711
"9214 Supervisors, plastic and rubber products manufacturing",5640,5570,53852,61168,5535,53815,61151,9214,"9214 Supervisors, plastic and rubber products manufacturing",169.838613556711,-169.838613556711
"9215 Supervisors, forest products processing",6905,6800,70320,77541,6745,70659,77762,9215,"9215 Supervisors, forest products processing",169.838613556711,-169.838613556711
"9217 Supervisors, textile, fabric, fur and leather products processing and manufacturing",2020,1955,41135,43637,1900,41458,44285,9217,"9217 Supervisors, textile, fabric, fur and leather products processing and manufacturing",169.838613556711,-169.838613556711
"9221 Supervisors, motor vehicle assembling",8235,8160,76321,78780,8135,76461,78939,9221,"9221 Supervisors, motor vehicle assembling",169.838613556711,-169.838613556711
"9222 Supervisors, electronics manufacturing",1815,1770,57850,62844,1760,57910,63259,9222,"9222 Supervisors, electronics manufacturing",169.838613556711,-169.838613556711
"9223 Supervisors, electrical products manufacturing",1335,1325,60781,67198,1320,60729,66953,9223,"9223 Supervisors, electrical products manufacturing",169.838613556711,-169.838613556711
"9224 Supervisors, furniture and fixtures manufacturing",2965,2910,48033,50703,2855,48521,51140,9224,"9224 Supervisors, furniture and fixtures manufacturing",169.838613556711,-169.838613556711
"9226 Supervisors, other mechanical and metal products manufacturing",4085,4060,70412,71709,4045,70532,71935,9226,"9226 Supervisors, other mechanical and metal products manufacturing",169.838613556711,-169.838613556711
"9227 Supervisors, other products manufacturing and assembly",3975,3910,52675,56584,3845,53022,57236,9227,"9227 Supervisors, other products manufacturing and assembly",169.838613556711,-169.838613556711
"9231 Central control and process operators, mineral and metal processing",2160,2155,87206,86019,2140,87706,86222,9231,"9231 Central control and process operators, mineral and metal processing",341.453081590811,-341.453081590811
"9232 Central control and process operators, petroleum, gas and chemical processing",19835,19130,108635,113716,18745,110054,114979,9232,"9232 Petroleum, gas and chemical process operators",179.143103400738,-179.143103400738
"9235 Pulping, papermaking and coating control operators",2935,2910,69477,68890,2895,69649,69076,9235,"9235 Pulping, papermaking and coating control operators",315.952234494614,-315.952234494614
9241 Power engineers and power systems operators,31545,31075,90562,102749,30835,91065,103267,9241,9241 Power engineers and power systems operators,266.448148481778,-266.448148481778
9243 Water and waste treatment plant operators,13465,13180,61514,60087,12875,62140,60606,9243,9243 Water and waste treatment plant operators,125.929353865589,-125.929353865589
"9411 Machine operators, mineral and metal processing",10640,10490,66628,67956,10365,67221,68549,9411,"9411 Machine operators, mineral and metal processing",341.453081590811,-341.453081590811
9412 Foundry workers,4145,4035,46029,51189,3960,46494,51823,9412,9412 Foundry workers,348.592805853305,-348.592805853305
9413 Glass forming and finishing machine operators and glass cutters,3700,3545,33676,34404,3405,34358,35321,9413,9413 Glass forming and finishing machine operators and glass cutters,226.714976480075,-226.714976480075
"9414 Concrete, clay and stone forming operators",6555,6315,38376,41412,6040,39017,42047,9414,"9414 Concrete, clay and stone forming operators",286.455624602661,-286.455624602661
"9415 Inspectors and testers, mineral and metal processing",2895,2815,49633,52233,2795,49889,52515,9415,"9415 Inspectors and testers, mineral and metal processing",312.741330026693,-312.741330026693
9416 Metalworking and forging machine operators,16310,15995,42253,44170,15810,42498,44470,9416,9416 Metalworking and forging machine operators,234.978400273125,-234.978400273125
9417 Machining tool operators,11720,11535,44096,45380,11390,44281,45686,9417,9417 Machining tool operators,245.286316523936,-245.286316523936
9418 Other metal products machine operators,8095,7915,40324,42861,7840,40647,43052,9418,9418 Other metal products machine operators,273.101320313442,-273.101320313442
9421 Chemical plant machine operators,10795,10390,43248,48262,10215,43650,48823,9421,9421 Chemical plant machine operators,197.272529336747,-197.272529336747
9422 Plastics processing machine operators,18880,18390,36800,40159,18210,36923,40301,9422,9422 Plastics processing machine operators,252.858908315101,-252.858908315101
9423 Rubber processing machine operators and related workers,8285,8120,45590,48067,8040,45817,48295,9423,9423 Rubber processing machine operators and related workers,297.607115683478,-297.607115683478
9431 Sawmill machine operators,9315,9005,41801,45494,8610,42872,47018,9431,9431 Sawmill machine operators,368.299493089324,-368.299493089324
9432 Pulp mill machine operators,2475,2445,73443,73871,2435,74082,74203,9432,9432 Pulp mill machine operators,213.405130628593,-213.405130628593
9433 Papermaking and finishing machine operators,3450,3445,59018,58641,3425,59662,58794,9433,9433 Papermaking and finishing machine operators,318.809466204419,-318.809466204419
9434 Other wood processing machine operators,5790,5635,42198,45528,5515,42754,46019,9434,9434 Other wood processing machine operators,313.610915570525,-313.610915570525
9435 Paper converting machine operators,5350,5195,45376,45778,5180,45360,45496,9435,9435 Paper converting machine operators,318.809466204419,-318.809466204419
9436 Lumber graders and other wood processing inspectors and graders,3485,3400,45610,47033,3365,45845,47438,9436,9436 Lumber graders and other wood processing inspectors and graders,308.448002218638,-308.448002218638
9437 Woodworking machine operators,7620,7385,33698,34184,7065,34152,34899,9437,9437 Woodworking machine operators,294.536184611315,-294.536184611315
"9441 Textile fibre and yarn, hide and pelt processing machine operators and workers",4300,4130,29456,31387,4005,29796,31787,9441,"9441 Textile fibre and yarn, hide and pelt processing machine operators and workers",353.096488030393,-353.096488030393
"9442 Weavers, knitters and other fabric making occupations",3945,3695,26251,26203,3255,27836,28189,9442,"9442 Weavers, knitters and other fabric making occupations",444.275172449627,-444.275172449627
"9445 Fabric, fur and leather cutters",1960,1860,25505,26008,1770,25892,26319,9445,"9445 Fabric, fur and leather cutters",279.285209381064,-279.285209381064
9446 Industrial sewing machine operators,19120,17825,22196,22271,15980,23091,23297,9446,9446 Industrial sewing machine operators,457.86217253548,-457.86217253548
"9447 Inspectors and graders, textile, fabric, fur and leather products manufacturing",2355,2270,27207,30300,2200,28040,30752,9447,"9447 Inspectors and graders, textile, fabric, fur and leather products manufacturing",312.741330026693,-312.741330026693
"9461 Process control and machine operators, food and beverage processing",37055,35865,38221,40837,35160,38560,41270,9461,"9461 Process control and machine operators, food, beverage and associated products processing",318.988853907373,-318.988853907373
"9462 Industrial butchers and meat cutters, poultry preparers and related workers",15820,15255,36435,34040,15000,36609,34228,9462,"9462 Industrial butchers and meat cutters, poultry preparers and related workers",402.35587155325,-402.35587155325
9463 Fish and seafood plant workers,8290,7800,13157,18262,7620,12884,17316,9463,9463 Fish and seafood plant workers,313.721980105708,-313.721980105708
"9465 Testers and graders, food and beverage processing",5505,5305,32735,35298,5220,32833,35415,9465,"9465 Testers and graders, food, beverage and associated products processing",312.741330026693,-312.741330026693
9471 Plateless printing equipment operators,7920,7660,35202,37101,7390,35817,37366,9471,9471 Plateless printing equipment operators,205.874339192255,-205.874339192255
"9472 Camera, platemaking and other prepress occupations",2900,2825,44076,46127,2745,44255,46298,9472,"9472 Camera, platemaking and other prepress occupations",70.9983844626378,-70.9983844626378
9473 Binding and finishing machine operators,5375,5210,31812,32701,5065,32258,33173,9473,9473 Binding and finishing machine operators,246.742786024254,-246.742786024254
9474 Photographic and film processors,2725,2570,21393,26735,2400,21948,27120,9474,9474 Photographic and film processors,89.5031899548368,-89.5031899548368
9521 Aircraft assemblers and aircraft assembly inspectors,7140,7075,66664,63392,7060,66659,63398,9521,9521 Aircraft assemblers and aircraft assembly inspectors,257.295127027916,-257.295127027916
"9522 Motor vehicle assemblers, inspectors and testers",70470,68855,43793,47191,68345,44008,47308,9522,"9522 Motor vehicle assemblers, inspectors and testers",267.851052457293,-267.851052457293
"9523 Electronics assemblers, fabricators, inspectors and testers",16505,16065,32767,35676,15850,33016,35849,9523,"9523 Electronics assemblers, fabricators, inspectors and testers",292.531553317361,-292.531553317361
"9524 Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing",8985,8660,35979,39453,8535,36094,39642,9524,"9524 Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing",338.878566751891,-338.878566751891
"9525 Assemblers, fabricators and inspectors, industrial electrical motors and transformers",2290,2230,42236,44875,2200,42610,44739,9525,"9525 Assemblers, fabricators and inspectors, industrial electrical motors and transformers",261.17711879272,-261.17711879272
9526 Mechanical assemblers and inspectors,12030,11800,43387,44541,11685,43490,44623,9526,9526 Mechanical assemblers and inspectors,267.851052457293,-267.851052457293
"9527 Machine operators and inspectors, electrical apparatus manufacturing",2070,2015,39286,40348,1990,39704,40588,9527,"9527 Machine operators and inspectors, electrical apparatus manufacturing",312.741330026693,-312.741330026693
9531 Boat assemblers and inspectors,1740,1630,32553,37646,1480,35212,39204,9531,9531 Boat assemblers and inspectors,292.963218898321,-292.963218898321
9532 Furniture and fixture assemblers and inspectors,12780,12085,29826,30144,11605,30296,30635,9532,9532 Furniture and fixture assemblers and inspectors,312.741330026693,-312.741330026693
9534 Furniture finishers and refinishers,7195,6765,30807,31195,5910,32172,32726,9534,9534 Furniture finishers and refinishers,361.63289416928,-361.63289416928
"9535 Plastic products assemblers, finishers and inspectors",12510,12050,32660,33851,11955,32773,33846,9535,"9535 Plastic products assemblers, finishers and inspectors",312.741330026693,-312.741330026693
"9536 Industrial painters, coaters and metal finishing process operators",18410,17865,42798,45972,17325,43301,46541,9536,"9536 Industrial painters, coaters and metal finishing process operators",345.863013914337,-345.863013914337
"9537 Other products assemblers, finishers and inspectors",26095,24740,30550,32814,23520,31174,33519,9537,"9537 Other products assemblers, finishers and inspectors",239.629585067584,-239.629585067584
9611 Labourers in mineral and metal processing,10740,10175,37116,42809,9820,38370,43720,9611,9611 Labourers in mineral and metal processing,362.172408570083,-362.172408570083
9612 Labourers in metal fabrication,16425,15855,34192,36667,15600,34251,36669,9612,9612 Labourers in metal fabrication,362.172408570083,-362.172408570083
9613 Labourers in chemical products processing and utilities,10385,10005,33885,39185,9895,33952,39393,9613,9613 Labourers in chemical products processing and utilities,362.172408570083,-362.172408570083
"9614 Labourers in wood, pulp and paper processing",25925,24745,32259,37131,24425,32478,37288,9614,"9614 Labourers in wood, pulp and paper processing",362.172408570083,-362.172408570083
9615 Labourers in rubber and plastic products manufacturing,9440,8995,28860,29864,8895,28866,29876,9615,9615 Labourers in rubber and plastic products manufacturing,362.172408570083,-362.172408570083
9616 Labourers in textile processing,4145,3870,23347,24959,3740,23595,25111,9616,9616 Labourers in textile processing,362.172408570083,-362.172408570083
9617 Labourers in food and beverage processing,86060,81385,25535,27217,80295,25661,27250,9617,"9617 Labourers in food, beverage and associated products processing",362.172408570083,-362.172408570083
9618 Labourers in fish and seafood processing,14140,13410,12450,15551,13160,12262,15131,9618,9618 Labourers in fish and seafood processing,362.172408570083,-362.172408570083
"9619 Other labourers in processing, manufacturing and utilities",98250,90415,22743,25888,88265,22970,26043,9619,"9619 Other labourers in processing, manufacturing and utilities",335.426474357518,-335.426474357518
