pie,census.year,lnwage,dw,dw2,dw3
88,2011,2.773,-0.169,-0.207,NA
88,2016,2.864,0.091,-0.078,-0.116
89,2001,2.827,NA,NA,NA
89,2006,2.818,-0.009,NA,NA
89,2011,3.010,0.192,0.184,NA
89,2016,2.952,-0.058,0.134,0.125
90,2001,2.892,NA,NA,NA
90,2006,2.871,-0.021,NA,NA
90,2011,2.742,-0.129,-0.150,NA
90,2016,2.819,0.077,-0.052,-0.073
91,2001,2.577,NA,NA,NA
91,2006,2.524,-0.052,NA,NA
91,2011,2.852,0.327,0.275,NA
91,2016,2.503,-0.348,-0.021,-0.073
92,2001,2.694,NA,NA,NA
92,2006,2.657,-0.036,NA,NA
92,2011,2.857,0.200,0.163,NA
93,2001,2.810,NA,NA,NA
93,2006,2.720,-0.090,NA,NA
93,2011,2.813,0.093,0.003,NA
93,2016,2.838,0.025,0.118,0.028
94,2001,2.673,NA,NA,NA
94,2006,2.601,-0.072,NA,NA
94,2016,2.876,0.276,0.203,NA
95,2011,2.778,NA,NA,NA
95,2016,3.486,0.708,NA,NA
96,2001,2.676,NA,NA,NA
96,2006,2.639,-0.038,NA,NA
96,2011,2.790,0.151,0.113,NA
96,2016,3.224,0.434,0.585,0.548
97,2001,2.751,NA,NA,NA
97,2006,2.684,-0.068,NA,NA
97,2016,2.822,0.138,0.070,NA
98,2006,2.554,NA,NA,NA
98,2011,2.919,0.365,NA,NA
98,2016,2.927,0.008,0.373,NA
99,2001,2.703,NA,NA,NA
99,2006,2.676,-0.028,NA,NA
99,2011,2.591,-0.085,-0.113,NA
100,2001,2.857,NA,NA,NA
100,2006,2.697,-0.160,NA,NA
100,2011,2.879,0.183,0.023,NA
100,2016,3.019,0.140,0.323,0.163
